person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid
1,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
2,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
3,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
4,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
5,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
6,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
7,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
8,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
9,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
10,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
11,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
12,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
13,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
14,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
15,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
16,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
17,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
18,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
19,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
20,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
21,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
22,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
23,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
24,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
25,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
26,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
27,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
28,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
29,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
30,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
31,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
32,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
33,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
34,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
35,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
36,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
37,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
38,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
39,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
40,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
41,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
42,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
43,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
44,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
45,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
46,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
47,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
48,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
49,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
50,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
51,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
52,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
53,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
54,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
55,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
56,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
57,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
58,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
59,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
60,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
61,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
62,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
63,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
64,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
65,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
66,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
67,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
68,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
69,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
70,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
71,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
72,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
73,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
74,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
75,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
76,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
77,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
78,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
79,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
80,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
81,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
82,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
83,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
84,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
85,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
86,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
87,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
88,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
89,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
90,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
91,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
92,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
93,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
94,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
95,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
96,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
97,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
98,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
99,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
100,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
101,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
102,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
103,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
104,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
105,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
106,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
107,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,0
108,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,0
